time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.55179201576e-07,4.690500728e-07,10.0073143918,0.000348381128538,0.000278317504748,0.0,-3.06282780186e-05,3.95615654308e-05,0.243792188373,0.015434412152,0.0125945305208,0.0,480.5445207427791,481.4980361229082,479.1193558038429,480.2910892768399
0.12000000000000001,-1.30844098948e-05,1.67334950768e-05,10.0299897782,0.00164848420232,0.000584828270318,0.0,-0.000470518358065,0.000646672166965,0.511972140078,0.0318812220315,-0.0173237288002,0.0,488.2955743868331,486.0589059922286,487.09717285519946,488.3253342900637
0.18,-4.99431127103e-05,0.000100115801624,10.0652896664,0.00314933360778,6.28251200955,0.0,-0.000633293353606,0.0023263860748,0.664613541466,0.00546832259678,-0.029491925227,0.0,453.83797935832,452.8604051312963,454.8932756456133,452.7736649575687
0.23999999999999996,-6.46718405158e-05,0.000314929395502,10.1108306363,0.0037778535223,6.28081909928,0.0,0.000341404514693,0.00489048892136,0.85329625278,0.0189702293522,-0.0257770533398,0.0,464.6287980931355,464.91973227535965,464.0304709748164,465.0889090019166
0.3,4.63082237619e-06,0.000684177548997,10.1633966246,0.0047850132512,6.28041884388,0.0,0.00204599733247,0.00751879493248,0.898867708044,0.01201463686,0.0165857783173,0.0,419.023422424881,422.68958700572693,419.50766195581167,418.9032719939854
0.36000000000000004,0.000177745469044,0.00123143798847,10.2192097425,0.00554473890016,6.28153100117,0.0,0.00362245680172,0.0107944159121,0.961518482428,0.0139265182379,0.0221756409101,0.0,425.9086274243655,426.38634582283555,425.2153393475993,425.3789600474238
0.4200000000000001,0.000421415143216,0.00199135772361,10.2789490041,0.00606298238236,0.000671730591257,0.0,0.00431028004816,0.0146046326816,1.02973071166,-0.00489239793142,0.0600138820482,0.0,425.5638869233644,428.7907726090344,428.9161496433824,427.31502947125153
0.48000000000000015,0.00065640627025,0.00297437259482,10.3407772882,0.00523142657786,0.00400117380561,0.0,0.00321805779492,0.0181253995386,1.03121041017,-0.0456003779789,0.0444229294084,0.0,405.7410276961988,404.3413939130674,407.85274158583724,404.2009096520073
0.5400000000000001,0.000740580554024,0.00417675312629,10.4092207539,0.00279813925258,0.00627737146431,0.0,-0.000712713324468,0.0216456559316,1.25002495533,-0.0320060907406,0.0199950290346,0.0,475.1926339996301,473.31714126031164,473.576696691374,474.62028332634503
0.6000000000000002,0.000557007475417,0.00553106540122,10.4882418733,0.0023654105989,0.00720282258226,0.0,-0.00552131820095,0.0233958064053,1.38385921544,0.0199119861379,0.00420526177848,0.0,449.4397154880923,448.1581837821706,447.22433632341955,451.43275990818773
0.6600000000000003,5.92117058136e-05,0.00699534952986,10.5765482962,0.00435477755759,0.0076864848018,0.0,-0.011112962094,0.0256026133935,1.55946432226,0.0513857182709,0.0148317522079,0.0,461.50532936261226,462.3431309841249,461.11917903133417,463.59892440483696
0.7200000000000003,-0.000771586737206,0.00863428775575,10.6733351848,0.00738774871944,0.00869218098598,0.0,-0.0166770737833,0.0293431245915,1.66661243189,0.0488230054167,0.0203658753239,0.0,441.9283100706823,442.38411695033506,441.0798711623495,440.869836310465
0.7800000000000004,-0.00199803358151,0.0105959844427,10.7810048691,0.0105222132341,0.00976670136186,0.0,-0.0243451384926,0.0364234804215,1.92197901105,0.0583228468732,0.012475803102,0.0,486.68661708688546,486.0956688270985,485.9062375161946,486.6193276671978
0.8400000000000004,-0.00366889926984,0.0130181903709,10.899858787,0.014103293286,0.0107235829772,0.0,-0.0314383897416,0.0446848744277,2.0396101391,0.0622768662829,0.0221174876454,0.0,445.429046237946,446.2167004117249,446.1354618787263,446.46065920965424
0.9000000000000005,-0.00578753930253,0.0160126199225,11.0257609195,0.0176940025986,0.0117413228119,0.0,-0.0393060934629,0.0555097924688,2.1569058206,0.0544770394552,0.00388130804552,0.0,446.7481908461773,445.25878477501044,447.1256284721475,446.49226237773934
0.9600000000000005,-0.00836675044244,0.0196855957617,11.1562181651,0.0211375433951,0.0123678044352,0.0,-0.04670881927,0.0672318613714,2.19159602091,0.0626623368982,0.0210928589478,0.0,420.1511483649272,421.6405871622975,419.45447358274316,420.16714735131364
1.0200000000000005,-0.011455468603,0.0242152413154,11.2927611886,0.0248222674764,0.0132854562484,0.0,-0.0563707921873,0.0841661162046,2.35949490598,0.0587875833724,-1.58508224344e-05,0.0,462.85908094328767,461.1948359676197,463.20687027038286,462.904602127411
1.0800000000000005,-0.0151944594503,0.0299494644264,11.4435171703,0.0285722983268,0.0132209214327,0.0,-0.0682493151464,0.107440509148,2.66503024089,0.06904627264,-0.00328425953933,0.0,502.33261563842643,502.0955848307917,503.3380678125214,504.08220734188944
1.1400000000000006,-0.0195866442352,0.0370572479235,11.6082758365,0.0332037557482,0.0132010948397,0.0,-0.0781404319668,0.12996544757,2.8265235558,0.0898616006329,0.00500504192883,0.0,461.77264774787795,462.42608337622556,462.57213747866325,464.21270772052986
1.2000000000000006,-0.0245391319358,0.0455357751668,11.7801048307,0.0383014271313,0.0130710924081,0.0,-0.0869549501597,0.153162981901,2.90090266805,0.0727189845284,-0.0230876175346,0.0,437.63045422397033,435.2858705808981,437.4203737355594,435.99642367456636
1.2600000000000007,-0.0300257525346,0.0555463128401,11.95744543,0.0435532086871,0.012171672567,0.0,-0.0958145187056,0.181017427416,3.01014713267,0.107217871345,-0.00237244606124,0.0,446.86609682415474,448.55160246126434,446.9348073966451,449.743624805958
